,level_0,index,grid_index,OPCINA,Mjesna_zaj,WKT,area,Gross_floor_A_heated_m2,total_heat_demand_kWh_realni_2021_schedule,CO2_emissions_realni_2021_schedule,PM2.5_emissions_realni_2021_schedule,NOx_emissions_realni_2021_schedule,SO2_emissions_realni_2021_schedule,total_heat_demand_MWh_realni_2021_schedule,total_heat_demand_kWh/m2_realni_2021_schedule
50,50,50,22105,TRNOVO,Šabići,"POLYGON ((2027591.7263781778 5414395.850859159, 2027591.7263781778 5414595.850859159, 2027791.7263781778 5414595.850859159, 2027791.7263781778 5414395.850859159, 2027591.7263781778 5414395.850859159))",40000.0,147.52418556434154,31861.664990868732,0.0017136963893228272,5.799100597969546e-05,9.87082265464391e-06,1.3572372581653431e-06,31.861664990868732,215.97587452514702
51,51,51,22106,TRNOVO,Šabići,"POLYGON ((2027791.7263781778 5414395.850859159, 2027791.7263781778 5414595.850859159, 2027991.7263781778 5414595.850859159, 2027991.7263781778 5414395.850859159, 2027791.7263781778 5414395.850859159))",40000.0,156.95593175483137,38153.041024012775,0.002640348859793272,8.934866611772359e-05,1.5208303818454855e-05,2.0911404548631128e-06,38.15304102401277,243.08123049219105
52,52,52,22458,TRNOVO,Šabići,"POLYGON ((2028391.7263781778 5414595.850859159, 2028391.7263781778 5414795.850859159, 2028591.7263781778 5414795.850859159, 2028591.7263781778 5414595.850859159, 2028391.7263781778 5414595.850859159))",40000.0,81.45169274648602,22151.666295048282,0.0015329872868545527,5.187586055071775e-05,8.829945452790749e-06,1.2141167332650844e-06,22.151666295048283,271.9607849525503
53,53,53,22522,TRNOVO,Dejčići,"POLYGON ((2041191.7263781778 5414595.850859159, 2041191.7263781778 5414795.850859159, 2041391.7263781778 5414795.850859159, 2041391.7263781778 5414595.850859159, 2041191.7263781778 5414595.850859159))",40000.0,205.30665314005927,21735.61124230033,0.00894995757035896,3.45209452728999e-07,1.1506992412344692e-05,1.610979577010941e-05,21.73561124230033,105.8690057524458
54,54,54,22529,TRNOVO,Dejčići,"POLYGON ((2042591.7263781778 5414595.850859159, 2042591.7263781778 5414795.850859159, 2042791.7263781778 5414795.850859159, 2042791.7263781778 5414595.850859159, 2042591.7263781778 5414595.850859159))",40000.0,157.398051287689,19667.64592176249,0.00809844243837279,3.1236560175065104e-07,1.0412196366024603e-05,1.4577080697036189e-05,19.667645921762492,124.95482479522167
55,55,55,22583,TRNOVO,Trnovo,"POLYGON ((2053391.7263781778 5414595.850859159, 2053391.7263781778 5414795.850859159, 2053591.7263781778 5414795.850859159, 2053591.7263781778 5414595.850859159, 2053391.7263781778 5414595.850859159))",40000.0,299.68214015741967,30853.745898853136,0.01918636299592548,3.7521992285604604e-05,2.9494884703425495e-05,0.00016800896557124507,30.853745898853138,102.95490376118514
56,56,56,22584,TRNOVO,Trnovo,"POLYGON ((2053591.7263781778 5414595.850859159, 2053591.7263781778 5414795.850859159, 2053791.7263781778 5414795.850859159, 2053791.7263781778 5414595.850859159, 2053591.7263781778 5414595.850859159))",40000.0,1518.6674774211788,204629.9584959071,0.07524728240647965,0.0002166237756673153,0.00012495728263722873,0.00038176484411216226,204.6299584959071,134.74309652260774
57,57,57,22585,TRNOVO,Trnovo,"POLYGON ((2053791.7263781778 5414595.850859159, 2053791.7263781778 5414795.850859159, 2053991.7263781778 5414795.850859159, 2053991.7263781778 5414595.850859159, 2053791.7263781778 5414595.850859159))",40000.0,1204.831790792341,134718.79003237258,0.030262240692373998,0.00027283851608976003,7.48179097137964e-05,0.00021162535264297353,134.7187900323726,111.81543437177784
58,58,58,22586,TRNOVO,Trnovo,"POLYGON ((2053991.7263781778 5414595.850859159, 2053991.7263781778 5414795.850859159, 2054191.7263781778 5414795.850859159, 2054191.7263781778 5414595.850859159, 2053991.7263781778 5414595.850859159))",40000.0,98.65628214016569,12249.278921396875,0.000847700963418469,2.868596324581123e-05,4.882723641251844e-06,6.713740768216469e-07,12.249278921396876,124.16116496254887
59,59,59,22871,TRNOVO,Dejčići,"POLYGON ((2041191.7263781778 5414795.850859159, 2041191.7263781778 5414995.850859159, 2041391.7263781778 5414995.850859159, 2041391.7263781778 5414795.850859159, 2041191.7263781778 5414795.850859159))",40000.0,488.39852378078433,50169.48120147911,0.02065802167119728,7.968020294527266e-07,2.6560092241307166e-05,3.71841438935598e-05,50.1694812014791,102.72242596703154
60,60,60,22933,TRNOVO,Trnovo,"POLYGON ((2053591.7263781778 5414795.850859159, 2053591.7263781778 5414995.850859159, 2053791.7263781778 5414995.850859159, 2053791.7263781778 5414795.850859159, 2053591.7263781778 5414795.850859159))",40000.0,862.1576161673008,107918.20941787536,0.007468388195008677,0.000252728165370399,4.301761726772217e-05,5.914918640117702e-06,107.91820941787536,125.17225086710124
61,61,61,22934,TRNOVO,Trnovo,"POLYGON ((2053791.7263781778 5414795.850859159, 2053791.7263781778 5414995.850859159, 2053991.7263781778 5414995.850859159, 2053991.7263781778 5414795.850859159, 2053791.7263781778 5414795.850859159))",40000.0,950.164213326718,110085.66022110533,0.022787207925760947,0.00022690545191417512,5.917942576906034e-05,0.00015399123594516816,110.08566022110533,115.85961529289033
62,62,62,22935,TRNOVO,Trnovo,"POLYGON ((2053991.7263781778 5414795.850859159, 2053991.7263781778 5414995.850859159, 2054191.7263781778 5414995.850859159, 2054191.7263781778 5414795.850859159, 2053991.7263781778 5414795.850859159))",40000.0,424.6706303919684,63637.75744672079,0.015912246344977274,0.0001255879787046136,3.6972973930690406e-05,0.00011574002496222044,63.637757446720784,149.85203329927367
63,63,63,22938,TRNOVO,Trnovo,"POLYGON ((2054591.7263781778 5414795.850859159, 2054591.7263781778 5414995.850859159, 2054791.7263781778 5414995.850859159, 2054791.7263781778 5414795.850859159, 2054591.7263781778 5414795.850859159))",40000.0,219.3550249447411,36612.48858211015,0.002533736234056066,8.574092471431172e-05,1.4594219358713575e-05,2.0067038949549997e-06,36.612488582110146,166.90973270994542
64,64,64,23181,TRNOVO,Šabići,"POLYGON ((2033391.7263781778 5414995.850859159, 2033391.7263781778 5415195.850859159, 2033591.7263781778 5415195.850859159, 2033591.7263781778 5414995.850859159, 2033391.7263781778 5414995.850859159))",40000.0,32.86257175164728,9797.65087849639,0.006092656848812881,1.1915161999621373e-05,9.36614257383925e-06,5.33514858947991e-05,9.79765087849639,298.1401136995698
65,65,65,23218,TRNOVO,Dejčići,"POLYGON ((2040791.7263781778 5414995.850859159, 2040791.7263781778 5415195.850859159, 2040991.7263781778 5415195.850859159, 2040991.7263781778 5414995.850859159, 2040791.7263781778 5414995.850859159))",40000.0,97.63319867966592,8320.78680236383,0.003426206330385106,1.3215244909830754e-07,4.405085715427311e-06,6.167122448888471e-06,8.320786802363829,85.22497382948902
